emp_id,emp_code,department,salary,join_date,age
1,EMP1000,Finance,"61,458",27 Oct 2023,53.0
2,EMP1001,sales,78523,04/10/2023,
3,EMP1002,Finance,62777,14 Aug 2022,57.0
4,EMP1003,sales,"66,224",2023-02-06,-1.0
5,EMP1004,it,"79,165",05 Jan 2018,-1.0
6,EMP1005,SALES ,"51,680",2022-12-16,
7,EMP1006,HR,28783,2023-06-09,
8,EMP1007,HR,97384,2024-03-06,
9,EMP1008,IT,90323,27-04-2019,-1.0
10,EMP1009,HR,88242,24 Jan 2021,-1.0
11,EMP1010,SALES ,49983,16 Aug 2019,
12,EMP1011,Sales,"91,550",08/27/2022,-1.0
13,EMP1012,Finance ,44476,07 May 2021,
14,EMP1013,HR,84682,10 Mar 2024,-1.0
15,EMP1014,Finance ,"78,841",18-04-2022,
16,EMP1015,it,"29,852",16 Sep 2019,
17,EMP1016,Finance,27011,13 Feb 2019,31.0
18,EMP1017,Finance,69375,04/08/2023,
19,EMP1018,Finance ,66505,26 Dec 2023,56.0
20,EMP1019,IT,107727,08-10-2018,-1.0
21,EMP1020,sales,37903,06 Jan 2019,50.0
22,EMP1021,Sales,31028,2021-05-11,
23,EMP1022,Finance,"44,080",16 Mar 2022,-1.0
24,EMP1023,Finance,"47,946",08-01-2020,
25,EMP1024,IT,55433,16-07-2024,
26,EMP1025,SALES ,62700,08 Feb 2018,
27,EMP1026,IT,108746,11/16/2021,
28,EMP1027,Finance,"88,335",26 Mar 2020,
29,EMP1028,Finance,"116,655",06/12/2024,39.0
30,EMP1029,IT,104482,2024-05-07,-1.0
31,EMP1030,IT,"108,442",14-12-2021,-1.0
32,EMP1031,Sales,65492,2019-02-02,
33,EMP1032,Finance,63680,2019-06-23,33.0
34,EMP1033,IT,94579,06/26/2019,
35,EMP1034,Finance ,69396,05/28/2023,26.0
36,EMP1035,Finance,98048,13 Jul 2020,
37,EMP1036,IT,84609,2024-01-07,
38,EMP1037,Sales,"113,452",2022-03-02,
39,EMP1038,Finance ,"109,889",03-11-2024,-1.0
40,EMP1039,Sales,"43,320",2022-07-31,
41,EMP1040,SALES ,55775,2019-04-21,
42,EMP1041,SALES ,101983,28 Feb 2022,-1.0
43,EMP1042,IT,105694,10 Feb 2019,-1.0
44,EMP1043,HR,83115,26-02-2022,45.0
45,EMP1044,HR,32936,02/13/2022,
2,EMP1001,sales,78523,04/10/2023,
8,EMP1007,HR,97384,2024-03-06,
