timestamp,temperature_c,humidity_pct,rainfall_mm
2025-06-01 00:00,29.5,54.0,2.6
2025-06-01 06:00,27.6,57.0,1.8
2025-06-01 12:00,27.3,92.0,0.1
2025-06-01 18:00,27.3,41.0,4.0
2025-06-02 00:00,32.7,62.0,0.0
2025-06-02 06:00,30.3,44.0,7.0
2025-06-02 12:00,26.6,73.0,0.4
2025-06-02 18:00,29.6,,0.4
2025-06-03 00:00,28.7,43.0,1.1
2025-06-03 06:00,22.3,,0.7
2025-06-03 12:00,25.0,57.0,0.7
2025-06-03 18:00,28.9,,0.9
2025-06-04 00:00,32.4,78.0,NA
2025-06-04 06:00,27.3,,0.4
2025-06-04 12:00,35.7,67.0,0.1
2025-06-04 18:00,29.2,,NA
2025-06-05 00:00,,,0.1
2025-06-05 06:00,29.1,,5.9
2025-06-05 12:00,26.2,,2.3
2025-06-05 18:00,27.1,,NA
2025-06-06 00:00,24.9,,1.4
2025-06-06 06:00,27.5,61.0,0.1
2025-06-06 12:00,27.3,47.0,2.2
2025-06-06 18:00,29.2,92.0,0.7
2025-06-07 00:00,36.3,78.0,0.4
2025-06-07 06:00,31.6,,7.0
2025-06-07 12:00,28.7,,5.1
2025-06-07 18:00,30.6,,0.2
2025-06-08 00:00,25.0,,0.6
2025-06-08 06:00,23.3,,3.5
2025-06-08 12:00,24.0,94.0,1.6
2025-06-08 18:00,25.4,75.0,0.3
2025-06-09 00:00,29.7,,2.6
2025-06-09 06:00,30.7,,3.0
2025-06-09 12:00,27.4,42.0,0.2
2025-06-09 18:00,26.1,79.0,4.0
2025-06-10 00:00,23.5,,0.1
2025-06-10 06:00,31.3,61.0,0.7
2025-06-10 12:00,31.5,56.0,2.0
2025-06-10 18:00,25.3,,4.4
2025-06-11 00:00,24.9,78.0,2.5
2025-06-11 06:00,27.8,92.0,2.9
2025-06-11 12:00,32.5,83.0,1.4
2025-06-11 18:00,29.0,,1.5
2025-06-12 00:00,26.8,71.0,0.2
2025-06-12 06:00,,94.0,0.1
2025-06-12 12:00,23.7,73.0,1.4
2025-06-12 18:00,31.1,,4.8
2025-06-13 00:00,26.4,79.0,2.8
2025-06-13 06:00,-100.0,,0.5
2025-06-13 12:00,27.4,54.0,0.4
2025-06-13 18:00,26.7,93.0,5.3
2025-06-14 00:00,29.5,,4.1
2025-06-14 06:00,31.5,50.0,3.3
2025-06-14 12:00,32.1,,4.5
2025-06-14 18:00,28.5,94.0,0.8
2025-06-15 00:00,27.2,72.0,1.1
2025-06-15 06:00,26.9,,3.4
2025-06-15 12:00,20.0,,0.5
2025-06-15 18:00,29.0,,0.3
2025-06-16 00:00,29.4,90.0,0.8
2025-06-16 06:00,27.5,84.0,1.5
2025-06-16 12:00,25.2,45.0,7.1
2025-06-16 18:00,32.2,,6.6
2025-06-17 00:00,27.9,43.0,0.7
2025-06-17 06:00,23.0,,0.7
2025-06-17 12:00,150.0,,NA
2025-06-17 18:00,26.7,51.0,1.4
2025-06-18 00:00,27.4,74.0,0.3
2025-06-18 06:00,28.9,,1.3
2025-06-18 12:00,,55.0,0.5
2025-06-18 18:00,30.3,,2.6
2025-06-19 00:00,32.2,,2.0
2025-06-19 06:00,23.8,48.0,1.5
2025-06-19 12:00,,52.0,0.1
2025-06-19 18:00,26.3,,1.8
2025-06-20 00:00,23.3,88.0,2.1
2025-06-20 06:00,,,0.4
2025-06-20 12:00,25.2,,5.5
2025-06-20 18:00,32.6,,0.3
2025-06-21 00:00,25.7,,NA
2025-06-21 06:00,27.0,,5.2
2025-06-21 12:00,26.9,,2.2
2025-06-21 18:00,29.7,,NA
2025-06-22 00:00,28.7,,1.5
2025-06-22 06:00,,,0.6
2025-06-22 12:00,28.8,41.0,0.8
2025-06-22 18:00,30.3,48.0,0.9
2025-06-23 00:00,29.6,76.0,4.4
2025-06-23 06:00,28.9,,3.0
2025-06-23 12:00,26.0,,0.4
2025-06-23 18:00,28.7,87.0,4.6
2025-06-24 00:00,28.9,,0.0
2025-06-24 06:00,25.9,,0.4
2025-06-24 12:00,,,2.1
2025-06-24 18:00,29.4,,0.5
2025-06-25 00:00,25.1,59.0,0.8
2025-06-25 06:00,30.4,,2.7
2025-06-25 12:00,30.9,48.0,2.1
2025-06-25 18:00,-100.0,75.0,1.7
2025-06-02 06:00,30.3,44.0,7.0
2025-06-13 12:00,27.4,54.0,0.4
